,brain_rest_vol,tectum_vol,brain_vol
Platycercus_elegans,3663.7,158.3,3822
Platycercus_eximius,3128.64,129.84,3258.48
Polytelis_swainsonii,2979,170,3149
Psephotus_haematonotus,1840.53,73.47,1914
Psittacula_eupatria,6044.27,161.35,6205.62
Psittacula_krameri,4118.55,120.45,4239
Psittacus_erithacus,6250.27,155.14,6405.41
Pyrrhura_molinae,4423.07,232.93,4656
Strigops_habroptila,14645.25,122.75,14768
Trichoglossus_haematodus,3600.4,125.6,3726
Spheniscus_magellanicus,16084.71,672.29,16757
Aegolius_acadicus,2792.51,64.49,2857
Asio_flammeus,6121.877,99.163,6221.04
Athene_cunicularia,5729.29,148.71,5878
Bubo_virginianus,16922.075,277.015,17199.09
Bubo_scandiaca,17059.929,286.041,17345.97
Ninox_boobook,5477.85,148.15,5626
Strix_nebulosa,13272.086,161.304,13433.39
Strix_varia,12560.478,166.642,12727.12
Surnia_ulula,9203.545,204.755,9408.3
Tyto_alba,6012.49,136.51,6149
Rhea_americana,17941.4,1286.6,19228
Crypturellus_tataupa,1423.75,159.25,1583
Rhynchotus_rufescens,3049.57,327.43,3377
Dromaius_novaehollandiae,20535.09284,494.22816,21029.321
Apteryx_australis,8260.952,32.002,8292.954
Amazilia_tzacatl,169.42,12.77,182.19
Calypte_anna,170.67,12.33,183
Chlorostilbon_mellisugus,108.56,10.44,119
Glaucis_hirsutus,110.04,12.96,123
Phaethornis_superciliosus,201.43,14.72,216.15
Selasphorus_rufus,109.25,11.75,121
Sephanoides_sephaniodes,123.81,10.19,134
Archaeopteryx_lithographica,1049.164658,111.6953415,1160.86
Dinornis_robustus,48825.82542,208.874585,49034.7
Lithornis_plebius,2303.976531,197.9534694,2501.93
Llallawavis_scagliai,41241.12672,1228.873285,42470
Miocene_galliform,2992.631768,209.0482319,3201.68
Paraptenodytes_antarcticus,27582.97404,862.8259581,28445.8
Psilopterus_lemoinei,20057.2443,727.6557024,20784.9
